player_name,team_abbr,position,position_family,overall,trait_grade,trait_delta_vs_madden,performance_grade,performance_weight,macabets_rating,final_delta_vs_madden,rating_source
Camryn Bynum,IND,FS,DB,84.0,83.18,-0.8199999999999932,,0.0,83.18,-0.8199999999999932,Madden 27 baseline
Byron Murphy Jr,MIN,CB,DB,84.0,84.36,0.35999999999999943,,0.0,84.36,0.35999999999999943,Madden 27 baseline
Justin Reid,NO,FS,DB,84.0,83.05,-0.9500000000000028,,0.0,83.05,-0.9500000000000028,Madden 27 baseline
Chidobe Awuzie,BAL,CB,DB,83.0,83.4,0.4000000000000057,,0.0,83.4,0.4000000000000057,Madden 27 baseline
Christian Benford,BUF,CB,DB,83.0,83.44,0.4399999999999977,,0.0,83.44,0.4399999999999977,Madden 27 baseline
Kyler Gordon,CHI,CB,DB,83.0,83.31,0.3100000000000023,,0.0,83.31,0.3100000000000023,Madden 27 baseline
DJ Turner II,CIN,CB,DB,83.0,82.9,-0.09999999999999432,,0.0,82.9,-0.09999999999999432,Madden 27 baseline
DaRon Bland,DAL,CB,DB,83.0,83.45,0.45000000000000284,,0.0,83.45,0.45000000000000284,Madden 27 baseline
Brandon Jones,DEN,FS,DB,83.0,82.26,-0.7399999999999949,,0.0,82.26,-0.7399999999999949,Madden 27 baseline
D.J. Reed,DET,CB,DB,83.0,83.47,0.46999999999999886,,0.0,83.47,0.46999999999999886,Madden 27 baseline
Jourdan Lewis,JAX,CB,DB,83.0,83.57,0.5699999999999932,,0.0,83.57,0.5699999999999932,Madden 27 baseline
Travis Hunter,JAX,CB,DB,83.0,83.43,0.4300000000000068,,0.0,83.43,0.4300000000000068,Madden 27 baseline
Kam Curl,LA,SS,DB,83.0,81.79,-1.2099999999999937,,0.0,81.79,-1.2099999999999937,Madden 27 baseline
Taron Johnson,LV,CB,DB,83.0,83.54,0.5400000000000063,,0.0,83.54,0.5400000000000063,Madden 27 baseline
Craig Woodson,NE,SS,DB,83.0,82.25,-0.75,,0.0,82.25,-0.75,Madden 27 baseline
Jevon Holland,NYG,FS,DB,83.0,82.89,-0.10999999999999943,,0.0,82.89,-0.10999999999999943,Madden 27 baseline
Grant Delpit,CLE,SS,DB,82.0,81.8,-0.20000000000000284,,0.0,81.8,-0.20000000000000284,Madden 27 baseline
Caleb Downs,DAL,SS,DB,82.0,81.42,-0.5799999999999983,,0.0,81.42,-0.5799999999999983,Madden 27 baseline
Quentin Lake,LA,SS,DB,82.0,81.55,-0.45000000000000284,,0.0,81.55,-0.45000000000000284,Madden 27 baseline
Donte Jackson,LAC,CB,DB,82.0,82.3,0.29999999999999716,,0.0,82.3,0.29999999999999716,Madden 27 baseline
Jeremy Chinn,LV,SS,DB,82.0,81.1,-0.9000000000000057,,0.0,81.1,-0.9000000000000057,Madden 27 baseline
Josh Metellus,MIN,SS,DB,82.0,80.45,-1.5499999999999972,,0.0,80.45,-1.5499999999999972,Madden 27 baseline
Marcus Jones,NE,CB,DB,82.0,82.31,0.3100000000000023,,0.0,82.31,0.3100000000000023,Madden 27 baseline
Riq Woolen,PHI,CB,DB,82.0,82.31,0.3100000000000023,,0.0,82.31,0.3100000000000023,Madden 27 baseline
Nate Wiggins,BAL,CB,DB,81.0,80.9,-0.09999999999999432,,0.0,80.9,-0.09999999999999432,Madden 27 baseline
Tre'von Moehrig,CAR,FS,DB,81.0,80.24,-0.7600000000000051,,0.0,80.24,-0.7600000000000051,Madden 27 baseline
Cobie Durant,DAL,CB,DB,81.0,81.31,0.3100000000000023,,0.0,81.31,0.3100000000000023,Madden 27 baseline
Cam Taylor-Britt,IND,CB,DB,81.0,81.31,0.3100000000000023,,0.0,81.31,0.3100000000000023,Madden 27 baseline
Antonio Johnson,JAX,SS,DB,81.0,80.89,-0.10999999999999943,,0.0,80.89,-0.10999999999999943,Madden 27 baseline
Kamren Kinchens,LA,FS,DB,81.0,81.01,0.010000000000005116,,0.0,81.01,0.010000000000005116,Madden 27 baseline
Isaiah Rodgers Sr,MIN,CB,DB,81.0,80.97,-0.030000000000001137,,0.0,80.97,-0.030000000000001137,Madden 27 baseline
Jaquan Brisker,PIT,SS,DB,81.0,79.93,-1.0699999999999932,,0.0,79.93,-1.0699999999999932,Madden 27 baseline
Deommodore Lenoir,SF,CB,DB,81.0,81.32,0.3199999999999932,,0.0,81.32,0.3199999999999932,Madden 27 baseline
Zyon McCollum,TB,CB,DB,81.0,81.17,0.1700000000000017,,0.0,81.17,0.1700000000000017,Madden 27 baseline
Cor'Dale Flott,TEN,CB,DB,81.0,81.16,0.1599999999999966,,0.0,81.16,0.1599999999999966,Madden 27 baseline
Nick Cross,WAS,SS,DB,81.0,80.47,-0.5300000000000011,,0.0,80.47,-0.5300000000000011,Madden 27 baseline
Cole Bishop,BUF,FS,DB,80.0,79.79,-0.20999999999999375,,0.0,79.79,-0.20999999999999375,Madden 27 baseline
Mike Jackson,CAR,CB,DB,80.0,80.8,0.7999999999999972,,0.0,80.8,0.7999999999999972,Madden 27 baseline
Bryan Cook,CIN,FS,DB,80.0,78.98,-1.019999999999996,,0.0,78.98,-1.019999999999996,Madden 27 baseline
L'Jarius Sneed,KC,CB,DB,80.0,80.66,0.6599999999999966,,0.0,80.66,0.6599999999999966,Madden 27 baseline
Tarheeb Still,LAC,CB,DB,80.0,80.75,0.75,,0.0,80.75,0.75,Madden 27 baseline
Tony Jefferson,LAC,SS,DB,80.0,79.8,-0.20000000000000284,,0.0,79.8,-0.20000000000000284,Madden 27 baseline
DeShon Elliott,PIT,SS,DB,80.0,79.05,-0.9500000000000028,,0.0,79.05,-0.9500000000000028,Madden 27 baseline
Xavier Watts,ATL,SS,DB,79.0,78.86,-0.14000000000000057,,0.0,78.86,-0.14000000000000057,Madden 27 baseline
Geno Stone,BUF,FS,DB,79.0,78.98,-0.01999999999999602,,0.0,78.98,-0.01999999999999602,Madden 27 baseline
Tyson Campbell,CLE,CB,DB,79.0,79.59,0.5900000000000034,,0.0,79.59,0.5900000000000034,Madden 27 baseline
Ja'Quan McMillian,DEN,CB,DB,79.0,80.05,1.0499999999999972,,0.0,80.05,1.0499999999999972,Madden 27 baseline
Reed Blankenship,HOU,SS,DB,79.0,78.41,-0.5900000000000034,,0.0,78.41,-0.5900000000000034,Madden 27 baseline
Mansoor Delane,KC,CB,DB,79.0,79.49,0.4899999999999949,,0.0,79.49,0.4899999999999949,Madden 27 baseline
Alohi Gilman,KC,FS,DB,79.0,78.82,-0.18000000000000682,,0.0,78.82,-0.18000000000000682,Madden 27 baseline
Jaylen Watson,LA,CB,DB,79.0,79.53,0.5300000000000011,,0.0,79.53,0.5300000000000011,Madden 27 baseline
Elijah Molden,LAC,FS,DB,79.0,79.05,0.04999999999999716,,0.0,79.05,0.04999999999999716,Madden 27 baseline
Greg Newsome II,NYG,CB,DB,79.0,79.8,0.7999999999999972,,0.0,79.8,0.7999999999999972,Madden 27 baseline
Paulson Adebo,NYG,CB,DB,79.0,79.69,0.6899999999999977,,0.0,79.69,0.6899999999999977,Madden 27 baseline
Jacob Parrish,TB,CB,DB,79.0,79.57,0.5699999999999932,,0.0,79.57,0.5699999999999932,Madden 27 baseline
Tykee Smith,TB,SS,DB,79.0,79.1,0.09999999999999432,,0.0,79.1,0.09999999999999432,Madden 27 baseline
Alontae Taylor,TEN,CB,DB,79.0,79.27,0.269999999999996,,0.0,79.27,0.269999999999996,Madden 27 baseline
Garrett Williams,ARI,CB,DB,78.0,79.18,1.1800000000000068,,0.0,79.18,1.1800000000000068,Madden 27 baseline
Malaki Starks,BAL,FS,DB,78.0,78.21,0.20999999999999375,,0.0,78.21,0.20999999999999375,Madden 27 baseline
Jaylinn Hawkins,BAL,FS,DB,78.0,78.01,0.010000000000005116,,0.0,78.01,0.010000000000005116,Madden 27 baseline
Maxwell Hairston,BUF,CB,DB,78.0,78.55,0.5499999999999972,,0.0,78.55,0.5499999999999972,Madden 27 baseline
Dax Hill,CIN,CB,DB,78.0,78.52,0.519999999999996,,0.0,78.52,0.519999999999996,Madden 27 baseline
Malik Hooker,DAL,FS,DB,78.0,77.71,-0.29000000000000625,,0.0,77.71,-0.29000000000000625,Madden 27 baseline
Chuck Clark,DET,FS,DB,78.0,77.8,-0.20000000000000284,,0.0,77.8,-0.20000000000000284,Madden 27 baseline
Keisean Nixon,GB,CB,DB,78.0,78.52,0.519999999999996,,0.0,78.52,0.519999999999996,Madden 27 baseline
Jarrian Jones,JAX,CB,DB,78.0,78.46,0.45999999999999375,,0.0,78.46,0.45999999999999375,Madden 27 baseline
Julian Blackmon,NO,SS,DB,78.0,77.92,-0.0799999999999983,,0.0,77.92,-0.0799999999999983,Madden 27 baseline
Dru Phillips,NYG,CB,DB,78.0,78.62,0.6200000000000045,,0.0,78.62,0.6200000000000045,Madden 27 baseline
Amani Hooker,TEN,SS,DB,78.0,78.02,0.01999999999999602,,0.0,78.02,0.01999999999999602,Madden 27 baseline
Sean Murphy-Bunting,ARI,CB,DB,77.0,78.13,1.1299999999999955,,0.0,78.13,1.1299999999999955,Madden 27 baseline
Will Johnson,ARI,CB,DB,77.0,78.12,1.1200000000000045,,0.0,78.12,1.1200000000000045,Madden 27 baseline
Coby Bryant,CHI,FS,DB,77.0,77.84,0.8400000000000034,,0.0,77.84,0.8400000000000034,Madden 27 baseline
Dillon Thieneman,CHI,SS,DB,77.0,77.05,0.04999999999999716,,0.0,77.05,0.04999999999999716,Madden 27 baseline
Kyle Dugger,CIN,SS,DB,77.0,77.05,0.04999999999999716,,0.0,77.05,0.04999999999999716,Madden 27 baseline
Riley Moss,DEN,CB,DB,77.0,77.71,0.7099999999999937,,0.0,77.71,0.7099999999999937,Madden 27 baseline
Benjamin St-Juste,GB,CB,DB,77.0,77.95,0.9500000000000028,,0.0,77.95,0.9500000000000028,Madden 27 baseline
Carrington Valentine,GB,CB,DB,77.0,77.7,0.7000000000000028,,0.0,77.7,0.7000000000000028,Madden 27 baseline
Kristian Fulton,KC,CB,DB,77.0,78.29,1.2900000000000063,,0.0,78.29,1.2900000000000063,Madden 27 baseline
Eric Stokes,LV,CB,DB,77.0,77.73,0.730000000000004,,0.0,77.73,0.730000000000004,Madden 27 baseline
James Pierre,MIN,CB,DB,77.0,77.9,0.9000000000000057,,0.0,77.9,0.9000000000000057,Madden 27 baseline
Jonas Sanker,NO,SS,DB,77.0,77.24,0.23999999999999488,,0.0,77.24,0.23999999999999488,Madden 27 baseline
Andre Cisco,NYJ,FS,DB,77.0,77.55,0.5499999999999972,,0.0,77.55,0.5499999999999972,Madden 27 baseline
Rayshawn Jenkins,PIT,FS,DB,77.0,76.6,-0.4000000000000057,,0.0,76.6,-0.4000000000000057,Madden 27 baseline
Josh Jobe,SEA,CB,DB,77.0,77.7,0.7000000000000028,,0.0,77.7,0.7000000000000028,Madden 27 baseline
Renardo Green,SF,CB,DB,77.0,77.67,0.6700000000000017,,0.0,77.67,0.6700000000000017,Madden 27 baseline
Rasul Douglas,WAS,CB,DB,77.0,78.42,1.4200000000000017,,0.0,78.42,1.4200000000000017,Madden 27 baseline
Amik Robertson,WAS,CB,DB,77.0,78.23,1.230000000000004,,0.0,78.23,1.230000000000004,Madden 27 baseline
Ahkello Witherspoon,WAS,CB,DB,77.0,78.13,1.1299999999999955,,0.0,78.13,1.1299999999999955,Madden 27 baseline
Trey Amos,WAS,CB,DB,77.0,77.9,0.9000000000000057,,0.0,77.9,0.9000000000000057,Madden 27 baseline
Mike Sainristil,WAS,CB,DB,77.0,77.57,0.5699999999999932,,0.0,77.57,0.5699999999999932,Madden 27 baseline
Quan Martin,WAS,FS,DB,77.0,77.31,0.3100000000000023,,0.0,77.31,0.3100000000000023,Madden 27 baseline
Andrew Wingard,ARI,FS,DB,76.0,76.05,0.04999999999999716,,0.0,76.05,0.04999999999999716,Madden 27 baseline
Dee Alford,BUF,CB,DB,76.0,76.89,0.8900000000000006,,0.0,76.89,0.8900000000000006,Madden 27 baseline
Tyrique Stevenson,CHI,CB,DB,76.0,76.74,0.7399999999999949,,0.0,76.74,0.7399999999999949,Madden 27 baseline
Jordan Battle,CIN,SS,DB,76.0,76.16,0.1599999999999966,,0.0,76.16,0.1599999999999966,Madden 27 baseline
Mekhi Blackmon,CLE,CB,DB,76.0,76.69,0.6899999999999977,,0.0,76.69,0.6899999999999977,Madden 27 baseline
Ronnie Hickman,CLE,FS,DB,76.0,76.38,0.37999999999999545,,0.0,76.38,0.37999999999999545,Madden 27 baseline
Roger McCreary,DET,CB,DB,76.0,77.14,1.1400000000000006,,0.0,77.14,1.1400000000000006,Madden 27 baseline
Javon Bullard,GB,SS,DB,76.0,76.57,0.5699999999999932,,0.0,76.57,0.5699999999999932,Madden 27 baseline
Evan Williams,GB,FS,DB,76.0,76.19,0.18999999999999773,,0.0,76.19,0.18999999999999773,Madden 27 baseline
Kader Kohou,KC,CB,DB,76.0,76.76,0.7600000000000051,,0.0,76.76,0.7600000000000051,Madden 27 baseline
Chamarri Conner,KC,FS,DB,76.0,76.47,0.46999999999999886,,0.0,76.47,0.46999999999999886,Madden 27 baseline
Treydan Stukes,LV,FS,DB,76.0,76.22,0.21999999999999886,,0.0,76.22,0.21999999999999886,Madden 27 baseline
Chris Johnson,MIA,CB,DB,76.0,77.06,1.0600000000000023,,0.0,77.06,1.0600000000000023,Madden 27 baseline
Kool-Aid McKinstry,NO,CB,DB,76.0,76.92,0.9200000000000017,,0.0,76.92,0.9200000000000017,Madden 27 baseline
Brandon Stephens,NYJ,CB,DB,76.0,77.1,1.0999999999999943,,0.0,77.1,1.0999999999999943,Madden 27 baseline
Dane Belton,NYJ,SS,DB,76.0,76.17,0.1700000000000017,,0.0,76.17,0.1700000000000017,Madden 27 baseline
Asante Samuel Jr,PIT,CB,DB,76.0,77.23,1.230000000000004,,0.0,77.23,1.230000000000004,Madden 27 baseline
Nate Hobbs,SF,CB,DB,76.0,77.03,1.0300000000000011,,0.0,77.03,1.0300000000000011,Madden 27 baseline
Jack Jones,SF,CB,DB,76.0,76.79,0.7900000000000063,,0.0,76.79,0.7900000000000063,Madden 27 baseline
Mike Hughes,ATL,CB,DB,75.0,76.58,1.5799999999999983,,0.0,76.58,1.5799999999999983,Madden 27 baseline
Clark Phillips III,ATL,CB,DB,75.0,76.11,1.1099999999999994,,0.0,76.11,1.1099999999999994,Madden 27 baseline
Avieon Terrell,ATL,CB,DB,75.0,75.78,0.7800000000000011,,0.0,75.78,0.7800000000000011,Madden 27 baseline
C.J. Gardner-Johnson,BUF,SS,DB,75.0,75.96,0.9599999999999937,,0.0,75.96,0.9599999999999937,Madden 27 baseline
Nick Scott,CAR,SS,DB,75.0,75.19,0.18999999999999773,,0.0,75.19,0.18999999999999773,Madden 27 baseline
Emmanuel McNeil-Warren,CLE,FS,DB,75.0,75.01,0.010000000000005116,,0.0,75.01,0.010000000000005116,Madden 27 baseline
Jahdae Barron,DEN,CB,DB,75.0,76.04,1.0400000000000063,,0.0,76.04,1.0400000000000063,Madden 27 baseline
Emmanuel Forbes Jr,LA,CB,DB,75.0,75.83,0.8299999999999983,,0.0,75.83,0.8299999999999983,Madden 27 baseline
Martin Emerson Jr,NO,CB,DB,75.0,76.39,1.3900000000000006,,0.0,76.39,1.3900000000000006,Madden 27 baseline
Ar'Darius Washington,NYG,CB,DB,75.0,76.24,1.2399999999999949,,0.0,76.24,1.2399999999999949,Madden 27 baseline
Tyler Nubin,NYG,SS,DB,75.0,76.08,1.0799999999999983,,0.0,76.08,1.0799999999999983,Madden 27 baseline
Colton Hood,NYG,CB,DB,75.0,75.67,0.6700000000000017,,0.0,75.67,0.6700000000000017,Madden 27 baseline
Deonte Banks,NYG,CB,DB,75.0,75.53,0.5300000000000011,,0.0,75.53,0.5300000000000011,Madden 27 baseline
Nahshon Wright,NYJ,CB,DB,75.0,76.35,1.3499999999999943,,0.0,76.35,1.3499999999999943,Madden 27 baseline
Jarvis Brownlee Jr,NYJ,CB,DB,75.0,75.95,0.9500000000000028,,0.0,75.95,0.9500000000000028,Madden 27 baseline
D'Angelo Ponds,NYJ,CB,DB,75.0,75.78,0.7800000000000011,,0.0,75.78,0.7800000000000011,Madden 27 baseline
Marcus Epps,PHI,SS,DB,75.0,75.06,0.060000000000002274,,0.0,75.06,0.060000000000002274,Madden 27 baseline
Brandin Echols,PIT,CB,DB,75.0,75.77,0.769999999999996,,0.0,75.77,0.769999999999996,Madden 27 baseline
Ty Okada,SEA,FS,DB,75.0,75.32,0.3199999999999932,,0.0,75.32,0.3199999999999932,Madden 27 baseline
Bud Clark,SEA,FS,DB,75.0,75.28,0.28000000000000114,,0.0,75.28,0.28000000000000114,Madden 27 baseline
Upton Stout,SF,CB,DB,75.0,75.97,0.9699999999999989,,0.0,75.97,0.9699999999999989,Madden 27 baseline
Benjamin Morrison,TB,CB,DB,75.0,75.94,0.9399999999999977,,0.0,75.94,0.9399999999999977,Madden 27 baseline
Joshua Williams,TEN,CB,DB,75.0,75.88,0.8799999999999955,,0.0,75.88,0.8799999999999955,Madden 27 baseline
Tony Adams,TEN,SS,DB,75.0,75.7,0.7000000000000028,,0.0,75.7,0.7000000000000028,Madden 27 baseline
Max Melton,ARI,CB,DB,74.0,75.28,1.2800000000000011,,0.0,75.28,1.2800000000000011,Madden 27 baseline
Kei'Trel Clark,ARI,CB,DB,74.0,74.94,0.9399999999999977,,0.0,74.94,0.9399999999999977,Madden 27 baseline
Davison Igbinosun,BUF,CB,DB,74.0,74.92,0.9200000000000017,,0.0,74.92,0.9200000000000017,Madden 27 baseline
Cam Lewis,CHI,SS,DB,74.0,75.08,1.0799999999999983,,0.0,75.08,1.0799999999999983,Madden 27 baseline
Derion Kendrick,DAL,CB,DB,74.0,75.81,1.8100000000000023,,0.0,75.81,1.8100000000000023,Madden 27 baseline
P.J. Locke,DAL,SS,DB,74.0,74.35,0.3499999999999943,,0.0,74.35,0.3499999999999943,Madden 27 baseline
Christian Izien,DET,SS,DB,74.0,74.75,0.75,,0.0,74.75,0.75,Madden 27 baseline
A.J. Haulcy,IND,SS,DB,74.0,74.78,0.7800000000000011,,0.0,74.78,0.7800000000000011,Madden 27 baseline
Montaric Brown,JAX,CB,DB,74.0,75.4,1.4000000000000057,,0.0,75.4,1.4000000000000057,Madden 27 baseline
Eric Murray,JAX,FS,DB,74.0,74.7,0.7000000000000028,,0.0,74.7,0.7000000000000028,Madden 27 baseline
Nohl Williams,KC,CB,DB,74.0,75.52,1.519999999999996,,0.0,75.52,1.519999999999996,Madden 27 baseline
Jermod McCoy,LV,CB,DB,74.0,75.0,1.0,,0.0,75.0,1.0,Madden 27 baseline
Darien Porter,LV,CB,DB,74.0,74.97,0.9699999999999989,,0.0,74.97,0.9699999999999989,Madden 27 baseline
Darrell Baker Jr,MIA,CB,DB,74.0,74.94,0.9399999999999977,,0.0,74.94,0.9399999999999977,Madden 27 baseline
Jordan Howden,NO,FS,DB,74.0,74.34,0.3400000000000034,,0.0,74.34,0.3400000000000034,Madden 27 baseline
Azareye'h Thomas,NYJ,CB,DB,74.0,75.53,1.5300000000000011,,0.0,75.53,1.5300000000000011,Madden 27 baseline
Michael Carter II,PHI,SS,DB,74.0,75.52,1.519999999999996,,0.0,75.52,1.519999999999996,Madden 27 baseline
Andrew Mukuba,PHI,FS,DB,74.0,74.32,0.3199999999999932,,0.0,74.32,0.3199999999999932,Madden 27 baseline
Ji'Ayir Brown,SF,SS,DB,74.0,74.97,0.9699999999999989,,0.0,74.97,0.9699999999999989,Madden 27 baseline
Malik Mustapha,SF,FS,DB,74.0,74.06,0.060000000000002274,,0.0,74.06,0.060000000000002274,Madden 27 baseline
Ifeatu Melifonwu,TB,SS,DB,74.0,74.69,0.6899999999999977,,0.0,74.69,0.6899999999999977,Madden 27 baseline
Starling Thomas V,ARI,CB,DB,73.0,73.95,0.9500000000000028,,0.0,73.95,0.9500000000000028,Madden 27 baseline
Billy Bowman Jr,ATL,CB,DB,73.0,74.03,1.0300000000000011,,0.0,74.03,1.0300000000000011,Madden 27 baseline
Damar Hamlin,BUF,SS,DB,73.0,73.08,0.0799999999999983,,0.0,73.08,0.0799999999999983,Madden 27 baseline
Chau Smith-Wade,CAR,CB,DB,73.0,73.99,0.9899999999999949,,0.0,73.99,0.9899999999999949,Madden 27 baseline
Isaiah Simmons,CAR,FS,DB,73.0,73.5,0.5,,0.0,73.5,0.5,Madden 27 baseline
Kris Abrams-Draine,DEN,CB,DB,73.0,74.07,1.0699999999999932,,0.0,74.07,1.0699999999999932,Madden 27 baseline
Avonte Maddox,DET,FS,DB,73.0,74.67,1.6700000000000017,,0.0,74.67,1.6700000000000017,Madden 27 baseline
Jaylon Jones,IND,CB,DB,73.0,74.32,1.3199999999999932,,0.0,74.32,1.3199999999999932,Madden 27 baseline
Jaylon Jones,IND,CB,DB,73.0,74.32,1.3199999999999932,,0.0,74.32,1.3199999999999932,Madden 27 baseline
Caleb Ransaw,JAX,FS,DB,73.0,73.45,0.45000000000000284,,0.0,73.45,0.45000000000000284,Madden 27 baseline
Jadon Canady,KC,SS,DB,73.0,73.83,0.8299999999999983,,0.0,73.83,0.8299999999999983,Madden 27 baseline
Jaden Hicks,KC,SS,DB,73.0,73.8,0.7999999999999972,,0.0,73.8,0.7999999999999972,Madden 27 baseline
Cam Hart,LAC,CB,DB,73.0,74.21,1.2099999999999937,,0.0,74.21,1.2099999999999937,Madden 27 baseline
Lonnie Johnson Jr,MIA,FS,DB,73.0,74.45,1.4500000000000028,,0.0,74.45,1.4500000000000028,Madden 27 baseline
Jakobe Thomas,MIN,SS,DB,73.0,73.87,0.8700000000000045,,0.0,73.87,0.8700000000000045,Madden 27 baseline
Quincy Riley,NO,CB,DB,73.0,74.62,1.6200000000000045,,0.0,74.62,1.6200000000000045,Madden 27 baseline
Jason Pinnock,NYG,SS,DB,73.0,74.15,1.1500000000000057,,0.0,74.15,1.1500000000000057,Madden 27 baseline
Kelee Ringo,PHI,CB,DB,73.0,74.01,1.0100000000000051,,0.0,74.01,1.0100000000000051,Madden 27 baseline
Jakorian Bennett,PHI,CB,DB,73.0,73.6,0.5999999999999943,,0.0,73.6,0.5999999999999943,Madden 27 baseline
Ashtyn Davis,SF,FS,DB,73.0,74.05,1.0499999999999972,,0.0,74.05,1.0499999999999972,Madden 27 baseline
Marques Sigle,SF,SS,DB,73.0,73.45,0.45000000000000284,,0.0,73.45,0.45000000000000284,Madden 27 baseline
Keionte Scott,TB,CB,DB,73.0,73.96,0.9599999999999937,,0.0,73.96,0.9599999999999937,Madden 27 baseline
Kevin Winston Jr,TEN,FS,DB,73.0,73.1,0.09999999999999432,,0.0,73.1,0.09999999999999432,Madden 27 baseline
Jeremy Reaves,WAS,SS,DB,73.0,73.26,0.2600000000000051,,0.0,73.26,0.2600000000000051,Madden 27 baseline
Isaiah Oliver,ARI,SS,DB,72.0,73.55,1.5499999999999972,,0.0,73.55,1.5499999999999972,Madden 27 baseline
Dadrion Taylor-Demerson,ARI,FS,DB,72.0,72.99,0.9899999999999949,,0.0,72.99,0.9899999999999949,Madden 27 baseline
Mike Ford Jr,ATL,CB,DB,72.0,73.32,1.3199999999999932,,0.0,73.32,1.3199999999999932,Madden 27 baseline
