alias,hand,resolved_player,method
D. Merida Aguilar,R,Daniel Merida Aguilar,exact_signature
Dahlin M.,R,Max Dahlin,exact_signature
Damas M.,R,Miguel Damas,exact_signature
Damm M.,L,Martin Damm,exact_signature
Daniel T.,R,Taro Daniel,exact_signature
Darderi L.,R,Luciano Darderi,exact_signature
Davidovich Fokina A.,R,Alejandro Davidovich Fokina,exact_signature
De Jong J.,R,Jesper De Jong,exact_signature
De Minaur A.,R,Alex De Minaur,exact_signature
Dedura-Palomero D.,L,Diego Dedura Palomero,exact_signature
Delbonis F.,L,Federico Delbonis,exact_signature
Dellien H.,R,Hugo Dellien,exact_signature
Den Ouden G.,R,Guy Den Ouden,exact_signature
Denolly C.,L,Corentin Denolly,exact_signature
Dhamne M.,R,Manas Dhamne,exact_signature
Diallo G.,R,Gabriel Diallo,exact_signature
Diaz Acosta F.,L,Facundo Diaz Acosta,exact_signature
Dietrich D.,R,Dylan Dietrich,exact_signature
Diez S.,R,Steven Diez,exact_signature
Dimitrov G.,R,Grigor Dimitrov,exact_signature
Djere L.,R,Laslo Djere,exact_signature
Djokovic N.,R,Novak Djokovic,exact_signature
Djuric B.,R,Branko Djuric,exact_signature
Dodig M.,R,Matej Dodig,exact_signature
Donskoy E.,R,Evgeny Donskoy,exact_signature
Dostanic S.,R,Stefan Dostanic,exact_signature
Dougaz A.,L,Aziz Dougaz,exact_signature
Draper J.,L,Jack Draper,exact_signature
Draxl L.,R,Liam Draxl,exact_signature
Droguet T.,R,Titouan Droguet,exact_signature
Duckworth J.,R,James Duckworth,exact_signature
Durasovic V.,R,Viktor Durasovic,exact_signature
Dutra Da Silva D.,L,Daniel Dutra Da Silva,exact_signature
Dzumhur D.,R,Damir Dzumhur,exact_signature
Ebden M.,R,Matthew Ebden,exact_signature
Echargui M.,R,Moez Echargui,exact_signature
Edmund K.,R,Kyle Edmund,exact_signature
Ehrat S.,R,Sandro Ehrat,exact_signature
Erler A.,R,Alexander Erler,exact_signature
Escobedo E.,R,Ernesto Escobedo,exact_signature
Escoffier A.,R,Antoine Escoffier,exact_signature
Etcheverry T.,R,Tomas Martin Etcheverry,exact_signature
Eubanks C.,R,Christopher Eubanks,exact_signature
Evans D.,R,Daniel Evans,exact_signature
Fabbiano T.,R,Thomas Fabbiano,exact_signature
Fancutt T.,R,Trevor Fancutt,exact_signature
Fanselow S.,R,Sebastian Fanselow,exact_signature
Faria J.,R,Jaime Faria,exact_signature
Fearnley J.,R,Jacob Fearnley,exact_signature
Federer R.,R,Roger Federer,exact_signature
Feldbausch K.,R,Kilian Feldbausch,exact_signature
Ferreira Silva F.,L,Frederico Ferreira Silva,exact_signature
Fery A.,R,Arthur Fery,exact_signature
Fils A.,R,Arthur Fils,exact_signature
Fognini F.,R,Fabio Fognini,exact_signature
Fonseca J.,R,Joao Fonseca,exact_signature
Fratangelo B.,R,Bjorn Fratangelo,exact_signature
Friberg K.,R,Karl Friberg,exact_signature
Fritz T.,R,Taylor Fritz,exact_signature
Fucsovics M.,R,Marton Fucsovics,exact_signature
Furness E.,R,Evan Furness,exact_signature
G. Mpetshi Perricard,R,Giovanni Mpetshi Perricard,exact_signature
Gaio F.,R,Federico Gaio,exact_signature
Gakhov I.,L,Ivan Gakhov,exact_signature
Galarneau A.,R,Alexis Galarneau,exact_signature
Garin C.,R,Cristian Garin,exact_signature
Gasquet R.,R,Richard Gasquet,exact_signature
Gaston H.,L,Hugo Gaston,exact_signature
Gaubas V.,R,Vilius Gaubas,exact_signature
Gea A.,R,Arthur Gea,exact_signature
Geerts M.,R,Michael Geerts,exact_signature
Gentzsch T.,R,Tom Gentzsch,exact_signature
Gerasimov E.,R,Egor Gerasimov,exact_signature
Ghibaudo A.,R,Antoine Ghibaudo,exact_signature
Giannessi A.,L,Alessandro Giannessi,exact_signature
Gigante M.,L,Matteo Gigante,exact_signature
Gill F.,L,Felix Gill,exact_signature
Gimeno Valero C.,R,Carlos Gimeno Valero,exact_signature
Giron M.,R,Marcos Giron,exact_signature
Giustino L.,R,Lorenzo Giustino,exact_signature
Goffin D.,R,David Goffin,exact_signature
Gojo B.,R,Borna Gojo,exact_signature
Gojowczyk P.,R,Peter Gojowczyk,exact_signature
Gombos N.,R,Norbert Gombos,exact_signature
Gomez E.,R,Emilio Gomez,exact_signature
Gomez F.,R,Federico Agustin Gomez,exact_signature
Gomez F.A.,R,Alejandro Pascacio F,surname_last_initial
Gray A.,R,Alastair Gray,exact_signature
Grenier H.,R,Herve Grenier,exact_signature
Griekspoor T.,R,Tallon Griekspoor,exact_signature
Guillen Meza A.,R,Alvaro Guillen Meza,exact_signature
Guinard M.,R,Manuel Guinard,exact_signature
Gulbis E.,R,Ernests Gulbis,exact_signature
Gunneswaran P.,L,Prajnesh Gunneswaran,exact_signature
Haase R.,R,Robin Haase,exact_signature
Habib H.,R,Hady Habib,exact_signature
Halys Q.,R,Quentin Halys,exact_signature
Hanfmann Y.,R,Yannick Hanfmann,exact_signature
Hardt N.,R,Nick Hardt,exact_signature
Harris A.,R,Andrew Harris,exact_signature
Harris B.,R,Bill Harris,exact_signature
Harris L.,R,Lloyd Harris,exact_signature
Harrison C.,R,Christian Harrison,exact_signature
Harrison R.,R,Ryan Harrison,exact_signature
Hassan B.,R,Benjamin Hassan,exact_signature
Heide G.,R,Gustavo Heide,exact_signature
Hemery C.,R,Calvin Hemery,exact_signature
Herbert P.,R,Pierre Hugues Herbert,exact_signature
Hernandez A.,R,Alejandro Hernandez,exact_signature
Hijikata R.,R,Rinky Hijikata,exact_signature
Hoang A.,R,Antoine Hoang,exact_signature
Holmgren A.,R,August Holmgren,exact_signature
Holt B.,R,Brandon Holt,exact_signature
Hong S.,R,Seong Chan Hong,exact_signature
Horansky F.,R,Filip Horansky,exact_signature
Hsu Y.,R,Yu Hsiou Hsu,exact_signature
Huesler M.,L,Marc Andrea Huesler,exact_signature
Humbert U.,L,Ugo Humbert,exact_signature
Hurkacz H.,R,Hubert Hurkacz,exact_signature
Hussey G.,L,Giles Hussey,exact_signature
Ilhan M.,R,Marsel Ilhan,exact_signature
Ilkel C.,R,Cem Ilkel,exact_signature
Isner J.,R,John Isner,exact_signature
Istomin D.,R,Denis Istomin,exact_signature
Ivanov I.,R,Ivan Ivanov,exact_signature
Ivashka I.,R,Ilya Ivashka,exact_signature
J. Boulais,L,Justin Boulais,exact_signature
Jacquet K.,R,Kyrian Jacquet,exact_signature
Janvier M.,R,Maxime Janvier,exact_signature
Jarry N.,R,Nicolas Jarry,exact_signature
Jasika O.,L,Omar Jasika,exact_signature
Jaziri M.,R,Malek Jaziri,exact_signature
Johnson S.,R,Steve Johnson,exact_signature
Jorda Sanchis D.,R,David Jorda Sanchis,exact_signature
Jubb P.,R,Paul Jubb,exact_signature
Jung J.,R,Jason Jung,exact_signature
K. Rice,R,Keegan Rice,exact_signature
Kachmazov A.,R,Alibek Kachmazov,exact_signature
Kadhe A.,R,Arjun Kadhe,exact_signature
Karatsev A.,R,Aslan Karatsev,exact_signature
Karlovic I.,R,Ivo Karlovic,exact_signature
Kasnikowski M.,R,Maks Kasnikowski,exact_signature
Kecmanovic M.,R,Miomir Kecmanovic,exact_signature
Khachanov K.,R,Karen Khachanov,exact_signature
Kicker N.,R,Nicolas Kicker,exact_signature
King D.,R,Darian King,exact_signature
King K.,L,Kevin King,exact_signature
Kirchheimer S.,R,Strong Kirchheimer,exact_signature
Kirkin E.,R,Ergi Kirkin,exact_signature
Klahn B.,L,Bradley Klahn,exact_signature
Klein L.,R,Lukas Klein,exact_signature
Klizan M.,L,Martin Klizan,exact_signature
Koepfer D.,L,Dominik Koepfer,exact_signature
Kohlschreiber P.,R,Philipp Kohlschreiber,exact_signature
Kokkinakis T.,R,Thanasi Kokkinakis,exact_signature
Kolar Z.,R,Zdenek Kolar,exact_signature
Kopriva V.,R,Vit Kopriva,exact_signature
Korda S.,R,Sebastian Korda,exact_signature
Kotov P.,R,Pavel Kotov,exact_signature
Kouame M.,R,Moise Kouame,exact_signature
Kovacevic A.,R,Aleksandar Kovacevic,exact_signature
Kovalik J.,R,Jozef Kovalik,exact_signature
Kozlov S.,R,Stefan Kozlov,exact_signature
Krajinovic F.,R,Filip Krajinovic,exact_signature
Krall L.,R,Liam Krall,exact_signature
Krstin P.,R,Pedja Krstin,exact_signature
Krueger M.,R,Mitchell Krueger,exact_signature
Krumich M.,R,Martin Krumich,exact_signature
Krutykh O.,R,Oleksii Krutykh,exact_signature
Kubler J.,R,Jason Kubler,exact_signature
Kudla D.,R,Denis Kudla,exact_signature
Kuhn N.,R,Nicola Kuhn,exact_signature
Kukushkin M.,R,Mikhail Kukushkin,exact_signature
Kumar O.,L,Omni Kumar,exact_signature
Kuzmanov D.,R,Dimitar Kuzmanov,exact_signature
Kwon S.,R,Soon Woo Kwon,exact_signature
Kym J.,R,Jerome Kym,exact_signature
Kypson P.,R,Patrick Kypson,exact_signature
Kyrgios N.,R,Nick Kyrgios,exact_signature
L. van Assche,R,Luca Van Assche,exact_signature
Laaksonen H.,R,Henri Laaksonen,exact_signature
Lacko L.,R,Lukas Lacko,exact_signature
Lajal M.,R,Mark Lajal,exact_signature
Lajovic D.,R,Dusan Lajovic,exact_signature
Lalami Laaroussi Y.,R,Younes Lalami Laaroussi,exact_signature
Lama G.,R,Gonzalo Lama,exact_signature
Lamasine T.,R,Tristan Lamasine,exact_signature
Landaluce M.,R,Martin Landaluce,exact_signature
Lazarov A.,R,Alexandar Lazarov,exact_signature
Lehecka J.,R,Jiri Lehecka,exact_signature
Leshem E.,R,Edan Leshem,exact_signature
Lestienne C.,R,Constant Lestienne,exact_signature
Llamas Ruiz P.,R,Pablo Llamas Ruiz,exact_signature
Lock B.,R,Benjamin Lock,exact_signature
Loffhagen G.,R,George Loffhagen,exact_signature
Lokoli L.,R,Laurent Lokoli,exact_signature
Lopez San Martin A.,R,Alvaro Lopez San Martin,exact_signature
Lopez Villasenor G.,R,Gerardo Lopez Villasenor,exact_signature
Lorenzi P.,R,Paolo Lorenzi,exact_signature
Lu Y.,R,Yen Hsun Lu,exact_signature
Luz O.,R,Orlando Luz,exact_signature
Machac T.,R,Tomas Machac,exact_signature
Madaras D.,L,Dragos Nicolae Madaras,exact_signature
Maestrelli F.,R,Francesco Maestrelli,exact_signature
Mager G.,R,Gianluca Mager,exact_signature
Majchrzak K.,R,Kamil Majchrzak,exact_signature
Mannarino A.,L,Adrian Mannarino,exact_signature
Mansouri S.,R,Skander Mansouri,exact_signature
Marchenko I.,R,Illya Marchenko,exact_signature
Marcora R.,R,Roberto Marcora,exact_signature
Marozsan F.,R,Fabian Marozsan,exact_signature
Marterer M.,L,Maximilian Marterer,exact_signature
Martin A.,R,Alberto Martin,exact_signature
Martineau M.,R,Matteo Martineau,exact_signature
Martinez P.,R,Pablo Martinez,exact_signature
Masur D.,R,Daniel Masur,exact_signature
Mayer L.,R,Leonardo Mayer,exact_signature
Mayo A.,R,Aidan Mayo,exact_signature
Mayot H.,R,Harold Mayot,exact_signature
McCabe J.,R,James Mccabe,exact_signature
McDonald M.,R,Matthew McDonald,exact_signature
McDonald N.,R,Nick McDonald,exact_signature
Mccabe J.,R,James Mccabe,exact_signature
Mcdonald M.,R,Matthew McDonald,exact_signature
Medjedovic H.,R,Hamad Medjedovic,exact_signature
Medvedev D.,R,Daniil Medvedev,exact_signature
Mejia N.,R,Nicolas Mejia,exact_signature
Meligeni Alves F.,R,Felipe Meligeni Alves,exact_signature
Melzer G.,L,Gerald Melzer,exact_signature
Mena F.,R,Facundo Mena,exact_signature
Menezes J.,R,Joao Menezes,exact_signature
Mensik J.,R,Jakub Mensik,exact_signature
Merida Aguilar D.,R,Daniel Merida Aguilar,exact_signature
Michelsen A.,R,Alex Michelsen,exact_signature
Midon L.,R,Lautaro Midon,exact_signature
Mikrut L.,R,Luka Mikrut,exact_signature
Millman J.,R,John Millman,exact_signature
Milojevic N.,R,Nikola Milojevic,exact_signature
Misolic F.,R,Filip Misolic,exact_signature
Mmoh M.,R,Michael Mmoh,exact_signature
Mo Y.,R,Ye Cong Mo,exact_signature
Mochizuki S.,R,Shintaro Mochizuki,exact_signature
Molcan A.,L,Alex Molcan,exact_signature
Molleker R.,R,Rudolf Molleker,exact_signature
Moller E.,R,Elmer Moller,exact_signature
Monday J.,L,Johannus Monday,exact_signature
Monfils G.,R,Gael Monfils,exact_signature
Monteiro T.,L,Thiago Monteiro,exact_signature
Moreno De Alboran N.,R,Nicolas Moreno De Alboran,exact_signature
Moriya H.,R,Hiroki Moriya,exact_signature
Moro Canas A.,R,Alejandro Moro Canas,exact_signature
Mott B.,R,Blake Mott,exact_signature
Moundir A.,R,Adam Moundir,exact_signature
Moutet C.,L,Corentin Moutet,exact_signature
Mpetshi Perricard G.,R,Giovanni Mpetshi Perricard,exact_signature
Mu T.,R,Tao Mu,exact_signature
Mukund S.,R,Sasi Kumar Mukund,exact_signature
Muller A.,R,Alexandre Muller,exact_signature
Munar J.,R,Jaume Munar,exact_signature
Murray A.,R,Andy Murray,exact_signature
Musetti L.,R,Lorenzo Musetti,exact_signature
N. Budkov Kjaer,R,Nicolai Budkov Kjaer,exact_signature
Nadal R.,L,Rafael Nadal,exact_signature
Nagal S.,R,Sumit Nagal,exact_signature
Nakashima B.,R,Brandon Nakashima,exact_signature
Nanda G.,R,Govind Nanda,exact_signature
Napolitano S.,R,Stefano Napolitano,exact_signature
Nardi L.,R,Luca Nardi,exact_signature
Nava E.,R,Eduardo Nava,exact_signature
Navone M.,R,Mariano Navone,exact_signature
Neff A.,R,Adam Neff,exact_signature
Neumayer L.,R,Lukas Neumayer,exact_signature
Nikles J.,R,Johan Nikles,exact_signature
Nishikori K.,R,Kei Nishikori,exact_signature
Nishioka Y.,L,Yoshihito Nishioka,exact_signature
Noguchi R.,R,Rio Noguchi,exact_signature
Norrie C.,L,Cameron Norrie,exact_signature
Ofner S.,R,Sebastian Ofner,exact_signature
Oliel Y.,L,Yshai Oliel,exact_signature
Olivieri G.,R,Genaro Alberto Olivieri,exact_signature
Olivo R.,R,Renzo Olivo,exact_signature
Onclin G.,R,Gauthier Onclin,exact_signature
Opelka R.,R,Reilly Opelka,exact_signature
Otte O.,R,Oscar Otte,exact_signature
P. Carreno-Busta,R,Pablo Carreno Busta,exact_signature
P. Llamas Ruiz,R,Pablo Llamas Ruiz,exact_signature
Pacheco Mendez R.,L,Rodrigo Pacheco Mendez,exact_signature
Paire B.,R,Benoit Paire,exact_signature
Pannu K.,R,Kiranpal Pannu,exact_signature
Papamalamis T.,R,Theo Papamalamis,exact_signature
Passaro F.,R,Francesco Passaro,exact_signature
Pavlovic L.,R,Luka Pavlovic,exact_signature
Pecotic M.,L,Matija Pecotic,exact_signature
Pella G.,L,Guido Pella,exact_signature
Pellegrino A.,R,Andrea Pellegrino,exact_signature
Peniston R.,L,Ryan Peniston,exact_signature
Pereira T.,R,Tiago Pereira,exact_signature
Pervolarakis M.,R,Michail Pervolarakis,exact_signature
Petrovic D.,R,Dejan Petrovic,exact_signature
Pinnington Jones J.,R,Jack Pinnington Jones,exact_signature
Piros Z.,R,Zsombor Piros,exact_signature
Poljicak M.,R,Mili Poljicak,exact_signature
Polmans M.,R,Marc Polmans,exact_signature
Popko D.,R,Dmitry Popko,exact_signature
Popyrin A.,R,Alexei Popyrin,exact_signature
Pospisil V.,R,Vasek Pospisil,exact_signature
Pouille L.,R,Lucas Pouille,exact_signature
Prizmic D.,R,Dino Prizmic,exact_signature
Pucinelli de Almeida M.,R,Matheus Pucinelli De Almeida,exact_signature
Purcell M.,R,Mel Purcell,exact_signature
Querrey S.,R,Sam Querrey,exact_signature
Quinn E.,R,Ethan Quinn,exact_signature
Quiroz R.,L,Roberto Quiroz,exact_signature
Ramanathan R.,R,Ramkumar Ramanathan,exact_signature
Raonic M.,R,Milos Raonic,exact_signature
Rehberg M.,R,Max Hans Rehberg,exact_signature
Reis Da Silva J.,R,Joao Lucas Reis Da Silva,exact_signature
Riedi L.,R,Leandro Riedi,exact_signature
Riffice S.,R,Sam Riffice,exact_signature
Rincon D.,L,Daniel Rincon,exact_signature
Rinderknech A.,R,Arthur Rinderknech,exact_signature
Ritschard A.,R,Alexander Ritschard,exact_signature
Robredo T.,R,Tommy Robredo,exact_signature
Roca Batalla O.,R,Oriol Roca Batalla,exact_signature
Rocha H.,R,Henrique Rocha,exact_signature
Rodesch C.,R,Chris Rodesch,exact_signature
Rodionov J.,L,Jurij Rodionov,exact_signature
Rodriguez Taverna S.,R,Santiago Fa Rodriguez Taverna,exact_signature
Rola B.,L,Blaz Rola,exact_signature
Rosol L.,R,Lukas Rosol,exact_signature
Rottgering M.,L,Mees Rottgering,exact_signature
Royer V.,R,Valentin Royer,exact_signature
Rubin N.,R,Noah Rubin,exact_signature
Rublev A.,R,Andrey Rublev,exact_signature
Rune H.,R,Holger Rune,exact_signature
Ruud C.,R,Christian Ruud,exact_signature
Ruusuvuori E.,R,Emil Ruusuvuori,exact_signature
Rybakov A.,L,Alex Rybakov,exact_signature
Sachko V.,R,Vitaliy Sachko,exact_signature
Safiullin R.,R,Roman Safiullin,exact_signature
Sakamoto R.,R,Rei Sakamoto,exact_signature
Sakellaridis S.,R,Stefanos Sakellaridis,exact_signature
Samrej K.,R,Kasidit Samrej,exact_signature
Samuel T.,R,Toby Samuel,exact_signature
Sanchez Izquierdo N.,R,Nikolas Sanchez Izquierdo,exact_signature
Sandgren T.,R,Tennys Sandgren,exact_signature
Sarkissian A.,R,Alexander Sarkissian,exact_signature
Saville L.,R,Luke Saville,exact_signature
Schnur B.,R,Brayden Schnur,exact_signature
Schoolkate T.,R,Tristan Schoolkate,exact_signature
Schwaerzler J.,L,Joel Schwaerzler,exact_signature
Schwartzman D.,R,Diego Schwartzman,exact_signature
Searle H.,L,Henry Searle,exact_signature
Sekulic P.,R,Philip Sekulic,exact_signature
Sell K.,R,Karue Sell,exact_signature
Seppi A.,R,Andreas Seppi,exact_signature
Serdarusic N.,R,Nino Serdarusic,exact_signature
Seyboth Wild T.,R,Thiago Seyboth Wild,exact_signature
Shang J.,L,Juncheng Shang,exact_signature
Shapovalov D.,L,Denis Shapovalov,exact_signature
Shelbayh A.,L,Abedallah Shelbayh,exact_signature
Shevchenko A.,R,Alexander Shevchenko,exact_signature
Shimabukuro S.,R,Sho Shimabukuro,exact_signature
Shimizu Y.,L,Yuta Shimizu,exact_signature
Simon G.,R,Gilles Simon,exact_signature
Sinner J.,R,Jannik Sinner,exact_signature
Skatov T.,R,Timofey Skatov,exact_signature
Smith C.,R,Colin Smith,exact_signature
Sock J.,R,Jack Sock,exact_signature
Sonego L.,R,Lorenzo Sonego,exact_signature
Soto M.,R,Matias Soto,exact_signature
Sousa J.,R,Joao Sousa,exact_signature
Sousa P.,R,Pedro Sousa,exact_signature
Spizzirri E.,R,Eliot Spizzirri,exact_signature
Squire H.,R,Henri Squire,exact_signature
Stakhovsky S.,R,Sergiy Stakhovsky,exact_signature
Stewart H.,R,Hugh Stewart,exact_signature
Stricker D.,L,Dominic Stricker,exact_signature
Sugita Y.,R,Yuichi Sugita,exact_signature
Sun F.,R,Fajing Sun,exact_signature
Suresh D.,R,Dhakshineswar Suresh,exact_signature
Svajda T.,R,Trevor Svajda,exact_signature
Svajda Z.,R,Zachary Svajda,exact_signature
Svrcina D.,R,Dalibor Svrcina,exact_signature
Sweeny D.,R,Dane Sweeny,exact_signature
T. Barrios Vera,R,Tomas Barrios Vera,exact_signature
Taberner C.,R,Carlos Taberner,exact_signature
Tabilo A.,L,Alejandro Tabilo,exact_signature
Tabur C.,R,Clement Tabur,exact_signature
Te R.,R,Rigele Te,exact_signature
Thiem D.,R,Dominic Thiem,exact_signature
Thompson J.,R,James Thompson,exact_signature
Tiafoe F.,R,Frances Tiafoe,exact_signature
Tien L.,L,Learner Tien,exact_signature
Tiurnev E.,R,Evgenii Tiurnev,exact_signature
Tomic B.,R,Bernard Tomic,exact_signature
Topo M.,R,Marko Topo,exact_signature
Torpegaard M.,R,Mikael Torpegaard,exact_signature
Travaglia S.,R,Stefano Travaglia,exact_signature
Troicki V.,R,Viktor Troicki,exact_signature
Trungelliti M.,R,Marco Trungelliti,exact_signature
Tsitsipas P.,R,Petros Tsitsipas,exact_signature
Tsitsipas S.,R,Stefanos Tsitsipas,exact_signature
Tu L.,R,Li Tu,exact_signature
Uchida K.,R,Kaichi Uchida,exact_signature
Uchiyama Y.,R,Yasutaka Uchiyama,exact_signature
Ugo Carabelli C.,R,Camilo Ugo Carabelli,exact_signature
Vacherot V.,R,Valentin Vacherot,exact_signature
Valkusz M.,R,Mate Valkusz,exact_signature
Vallejo D.,R,Daniel Vallejo,exact_signature
Van Assche L.,R,Luca Van Assche,exact_signature
Van De Zandschulp B.,R,Botic Van De Zandschulp,exact_signature
Van Rijthoven T.,R,Tim Van Rijthoven,exact_signature
Vatutin A.,R,Alexey Vatutin,exact_signature
Vavassori A.,R,Andrea Vavassori,exact_signature
Verdasco F.,L,Fernando Verdasco,exact_signature
Vilella Martinez M.,R,Mario Vilella Martinez,exact_signature
Villanueva G.,R,Gonzalo Villanueva,exact_signature
Virtanen O.,R,Otto Virtanen,exact_signature
Vrbensky M.,R,Michael Vrbensky,exact_signature
Vukic A.,R,Aleksandar Vukic,exact_signature
Walton A.,R,Adam Walton,exact_signature
Ward J.,R,Jim Ward,exact_signature
Watanuki Y.,R,Yusuke Watanuki,exact_signature
Watt J.,R,James Watt,exact_signature
Wawrinka S.,R,Stan Wawrinka,exact_signature
Wendelken H.,R,Harry Wendelken,exact_signature
Wessels L.,R,Louis Wessels,exact_signature
Winter E.,R,Edward Winter,exact_signature
Wong C.,R,Clifton Wong,exact_signature
Wu Y.,R,Yibing Wu,exact_signature
Yevseyev D.,R,Denis Yevseyev,exact_signature
Ymer E.,R,Elias Ymer,exact_signature
Ymer M.,R,Mikael Ymer,exact_signature
Young D.,L,Donald Young,exact_signature
Zahraj P.,R,Patrick Zahraj,exact_signature
Zapata Miralles B.,R,Bernabe Zapata Miralles,exact_signature
Zayid M.,R,Mubarak Shannan Zayid,exact_signature
Zeppieri G.,L,Giulio Zeppieri,exact_signature
