player_name,team,position,overall,speed,strength,agility,change_of_direction,injury,awareness,id,firstName,lastName,birthdate,height,weight,overallRating,college,handedness,age,jerseyNum,yearsPro,avatarUrl,archetype,iteration_id,iteration_label,stats_acceleration_value,stats_acceleration_diff,stats_agility_value,stats_agility_diff,stats_jumping_value,stats_jumping_diff,stats_stamina_value,stats_stamina_diff,stats_strength_value,stats_strength_diff,stats_awareness_value,stats_awareness_diff,stats_bCVision_value,stats_bCVision_diff,stats_blockShedding_value,stats_blockShedding_diff,stats_breakSack_value,stats_breakSack_diff,stats_breakTackle_value,stats_breakTackle_diff,stats_carrying_value,stats_carrying_diff,stats_catchInTraffic_value,stats_catchInTraffic_diff,stats_catching_value,stats_catching_diff,stats_changeOfDirection_value,stats_changeOfDirection_diff,stats_deepRouteRunning_value,stats_deepRouteRunning_diff,stats_finesseMoves_value,stats_finesseMoves_diff,stats_hitPower_value,stats_hitPower_diff,stats_impactBlocking_value,stats_impactBlocking_diff,stats_injury_value,stats_injury_diff,stats_jukeMove_value,stats_jukeMove_diff,stats_kickAccuracy_value,stats_kickAccuracy_diff,stats_kickPower_value,stats_kickPower_diff,stats_kickReturn_value,stats_kickReturn_diff,stats_leadBlock_value,stats_leadBlock_diff,stats_manCoverage_value,stats_manCoverage_diff,stats_mediumRouteRunning_value,stats_mediumRouteRunning_diff,stats_overall_value,stats_overall_diff,stats_passBlock_value,stats_passBlock_diff,stats_passBlockFinesse_value,stats_passBlockFinesse_diff,stats_passBlockPower_value,stats_passBlockPower_diff,stats_playAction_value,stats_playAction_diff,stats_playRecognition_value,stats_playRecognition_diff,stats_powerMoves_value,stats_powerMoves_diff,stats_press_value,stats_press_diff,stats_pursuit_value,stats_pursuit_diff,stats_release_value,stats_release_diff,stats_runBlock_value,stats_runBlock_diff,stats_runBlockFinesse_value,stats_runBlockFinesse_diff,stats_runBlockPower_value,stats_runBlockPower_diff,stats_runningStyle_value,stats_runningStyle_diff,stats_shortRouteRunning_value,stats_shortRouteRunning_diff,stats_spectacularCatch_value,stats_spectacularCatch_diff,stats_speed_value,stats_speed_diff,stats_spinMove_value,stats_spinMove_diff,stats_stiffArm_value,stats_stiffArm_diff,stats_tackle_value,stats_tackle_diff,stats_throwAccuracyDeep_value,stats_throwAccuracyDeep_diff,stats_throwAccuracyMid_value,stats_throwAccuracyMid_diff,stats_throwAccuracyShort_value,stats_throwAccuracyShort_diff,stats_throwOnTheRun_value,stats_throwOnTheRun_diff,stats_throwPower_value,stats_throwPower_diff,stats_throwUnderPressure_value,stats_throwUnderPressure_diff,stats_toughness_value,stats_toughness_diff,stats_trucking_value,stats_trucking_diff,stats_zoneCoverage_value,stats_zoneCoverage_diff,playerAbilities,identity_source
Fred Warner,SF,LB,97,88,80,83,82,96,99,13203,Fred,Warner,1996-11-19,75,230,97,BYU,0,28,54,7,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9101.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,91,0,83,0,94,0,97,0,80,0,99,0,56,0,79,0,12,0,21,0,63,0,60,0,78,0,82,0,5,0,62,0,85,0,81,0,96,0,59,0,10,0,13,0,10,0,23,0,77,0,5,0,97,0,45,0,45,0,45,0,6,0,99,0,52,0,58,0,99,0,20,0,45,0,45,0,45,0,Short Stride Bread Loaf,0,15,0,60,0,88,0,53,0,34,0,91,0,6,0,6,0,6,0,6,0,14,0,10,0,93,0,46,0,86,0,,rosters.csv
Jahmyr Gibbs,DET,RB,97,96,72,93,92,90,90,22691,Jahmyr,Gibbs,2002-03-20,69,199,97,Alabama,1,23,0,2,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2564.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,95,0,93,0,81,0,85,0,72,0,90,0,92,0,30,0,25,0,84,0,97,0,64,0,74,0,92,0,61,0,10,0,28,0,32,0,90,0,95,0,10,0,14,0,80,0,29,0,12,0,65,0,97,0,52,0,29,0,34,0,10,0,16,0,10,0,16,0,37,0,62,0,30,0,24,0,16,0,Default,0,71,0,64,0,96,0,92,0,72,0,30,0,13,0,17,0,21,0,15,0,26,0,14,0,84,0,82,0,15,0,,rosters.csv
Maxx Crosby,LV,DL,97,86,88,86,73,94,98,20571,Maxx,Crosby,1997-08-22,77,255,97,Eastern Michigan,1,28,98,6,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/9426.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,88,0,86,0,85,0,98,0,88,0,98,0,41,0,92,0,12,0,27,0,41,0,29,0,41,0,73,0,16,0,96,0,88,0,86,0,94,0,34,0,12,0,17,0,20,0,20,0,40,0,20,0,97,0,45,0,45,0,44,0,6,0,96,0,90,0,25,0,98,0,25,0,45,0,45,0,46,0,Long Stride Loose,0,25,0,31,0,86,0,30,0,39,0,96,0,6,0,6,0,6,0,6,0,22,0,10,0,86,0,34,0,48,0,,rosters.csv
Patrick Surtain II,,,97,94,63,90,91,92,98,21764,Patrick,Surtain II,2000-04-14,74,202,97,Alabama,1,25,2,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1301.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,92,0,90,0,92,0,96,0,63,0,98,0,75,0,54,0,15,0,55,0,64,0,63,0,76,0,91,0,20,0,48,0,67,0,55,0,92,0,73,0,11,0,19,0,55,0,19,0,97,0,24,0,97,0,35,0,35,0,35,0,6,0,98,0,36,0,95,0,81,0,31,0,35,0,35,0,35,0,Long Stride Loose,0,30,0,72,0,94,0,62,0,46,0,75,0,6,0,6,0,6,0,6,0,28,0,13,0,86,0,32,0,96,0,,ea
Patrick Mahomes,KC,QB,97,85,70,86,86,96,97,12635,Patrick,Mahomes,1995-09-17,74,225,97,Texas Tech,1,29,15,8,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8648.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,86,0,74,0,98,0,70,0,97,0,93,0,24,0,92,0,78,0,66,0,32,0,59,0,86,0,15,0,10,0,18,0,27,0,96,0,77,0,10,0,20,0,10,0,23,0,17,0,17,0,97,0,10,0,10,0,10,0,96,0,22,0,10,0,10,0,37,0,22,0,23,0,10,0,10,0,Default,0,27,0,30,0,85,0,71,0,65,0,26,0,84,0,94,0,98,0,97,0,97,0,97,0,99,0,75,0,19,0,,rosters.csv
Penei Sewell,DET,OL,97,73,97,60,58,94,97,21540,Penei,Sewell,2000-10-09,78,325,97,Oregon,1,24,58,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/963.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,74,0,60,0,70,0,95,0,97,0,97,0,20,0,35,0,13,0,15,0,35,0,17,0,44,0,58,0,5,0,16,0,33,0,96,0,94,0,10,0,20,0,23,0,10,0,97,0,12,0,17,0,97,0,88,0,84,0,92,0,6,0,19,0,24,0,10,0,37,0,15,0,99,0,99,0,99,0,Default Stride Awkward,0,28,0,15,0,73,0,10,0,25,0,32,0,6,0,6,0,6,0,6,0,18,0,14,0,91,0,30,0,12,0,,rosters.csv
Trent Williams,SF,OL,97,77,95,71,57,88,98,9800,Trent,Williams,1988-07-19,77,320,97,Oklahoma,1,37,71,15,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/3231.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,74,0,71,0,83,0,91,0,95,0,98,0,10,0,32,0,12,0,7,0,40,0,15,0,20,0,57,0,5,0,10,0,60,0,99,0,88,0,10,0,10,0,11,0,10,0,99,0,10,0,5,0,97,0,92,0,90,0,95,0,6,0,19,0,10,0,10,0,33,0,15,0,98,0,98,0,97,0,Default Stride Awkward,0,15,0,51,0,77,0,10,0,10,0,39,0,6,0,6,0,6,0,6,0,12,0,14,0,98,0,10,0,14,0,,rosters.csv
Amon-Ra St. Brown,DET,WR,96,90,67,92,88,90,98,21606,Amon-Ra,St. Brown,1999-10-24,72,195,96,USC,1,25,14,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/1313.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,91,0,92,0,91,0,93,0,67,0,98,0,92,0,33,0,27,0,78,0,75,0,94,0,99,0,88,0,88,0,10,0,23,0,48,0,90,0,87,0,14,0,20,0,74,0,26,0,12,0,97,0,96,0,30,0,23,0,27,0,24,0,19,0,10,0,20,0,36,0,90,0,47,0,28,0,36,0,Default,0,97,0,90,0,90,0,79,0,62,0,34,0,25,0,34,0,40,0,35,0,48,0,32,0,85,0,57,0,19,0,,rosters.csv
Chris Jones,KC,DL,96,73,96,74,62,93,97,17676,Chris,Jones,1994-07-03,78,310,96,Mississippi St.,1,31,95,9,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8082.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,79,0,74,0,63,0,88,0,96,0,97,0,27,0,93,0,12,0,10,0,29,0,14,0,29,0,62,0,3,0,90,0,86,0,95,0,93,0,31,0,17,0,17,0,9,0,19,0,23,0,6,0,96,0,44,0,45,0,44,0,6,0,94,0,97,0,13,0,92,0,15,0,44,0,45,0,46,0,Default Stride High and Tight,0,13,0,16,0,73,0,21,0,29,0,90,0,6,0,6,0,6,0,6,0,23,0,16,0,93,0,33,0,29,0,,rosters.csv
Christian Gonzalez,NE,DB,96,96,59,92,91,90,97,23026,Christian,Gonzalez,2002-06-28,74,201,96,Oregon,1,23,0,2,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/2171.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,93,0,92,0,95,0,90,0,59,0,97,1,75,0,52,0,10,0,67,0,60,0,62,0,74,0,91,0,20,0,37,0,49,0,48,0,90,0,74,0,42,0,46,0,55,0,15,0,97,1,27,0,96,1,30,0,24,0,25,0,6,0,98,1,28,0,84,0,74,0,40,0,32,0,27,0,32,0,Default Stride Loose,0,37,0,73,0,96,0,66,0,57,0,65,0,6,0,10,0,15,0,10,0,35,0,10,0,78,0,42,0,89,1,,rosters.csv
Derrick Henry,BAL,RB,96,93,87,83,78,96,95,17557,Derrick,Henry,1994-01-04,75,247,96,Alabama,1,31,22,9,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8045.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,83,0,88,0,92,0,87,0,95,0,98,0,36,0,29,0,96,0,91,0,47,0,66,0,78,0,41,0,12,0,33,0,47,0,96,0,86,0,20,0,21,0,36,0,49,0,14,0,49,0,96,0,68,0,38,0,43,0,15,0,20,0,11,0,16,0,41,0,47,0,42,0,31,0,35,0,None,0,56,0,55,0,93,0,75,0,99,0,44,0,23,0,29,0,40,0,32,0,42,0,26,0,97,0,93,0,19,0,,rosters.csv
Derrick Brown,CAR,DL,96,73,98,70,58,95,97,21286,Derrick,Brown,1998-04-15,77,320,96,Auburn,1,27,95,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/189.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,76,0,70,0,68,0,87,0,98,0,97,0,53,0,95,0,33,0,38,0,56,0,47,0,53,0,58,0,33,0,68,0,84,0,93,0,95,0,52,0,14,0,22,0,30,0,42,0,24,0,38,0,96,0,48,0,44,0,48,0,25,0,95,0,86,0,23,0,86,0,39,0,50,0,46,0,50,0,Long Stride Default,0,42,0,49,0,73,0,50,0,52,0,96,0,27,0,30,0,35,0,36,0,41,0,31,0,95,0,60,0,30,0,,rosters.csv
Joe Burrow,CIN,QB,96,84,68,83,79,92,98,20948,Joe,Burrow,1996-12-10,76,215,96,LSU,1,28,9,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/198.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,86,0,83,0,74,0,97,0,68,0,98,0,86,0,30,0,91,0,69,0,62,0,19,0,40,0,79,0,15,0,10,0,29,0,29,0,92,0,64,0,17,0,21,0,10,0,20,0,29,0,19,0,96,0,15,0,15,0,25,0,86,0,27,0,10,0,25,0,38,0,18,0,15,0,20,0,30,0,Long Stride Default,0,28,0,26,0,84,0,68,0,50,0,36,0,96,0,97,0,99,0,91,0,88,0,96,0,97,0,57,0,33,0,,rosters.csv
Quinn Meinerz,DEN,OL,96,76,95,66,55,90,96,21842,Quinn,Meinerz,1998-11-15,75,320,96,Wisc-Whitewater,1,26,77,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/841.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,79,0,66,0,78,0,85,0,95,0,96,1,18,0,33,0,12,0,33,0,22,0,10,0,25,0,55,0,3,0,27,0,41,0,93,6,90,0,18,0,13,0,19,0,10,0,96,1,12,0,7,0,96,1,89,0,87,0,90,0,6,0,26,0,30,0,10,0,27,0,15,0,97,0,99,0,95,0,Default Stride Awkward,0,15,0,12,0,76,0,20,0,31,0,32,0,6,0,6,0,6,0,6,0,21,0,15,0,92,0,35,0,17,0,,rosters.csv
T.J. Watt,PIT,LB,96,83,86,84,70,91,98,12562,T.J.,Watt,1994-10-11,76,252,96,Wisconsin,1,30,90,8,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/8770.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,87,0,84,0,88,0,88,0,86,0,98,0,49,0,93,0,12,0,23,0,53,0,52,0,72,0,70,0,7,0,95,0,87,0,79,0,91,0,46,0,50,0,57,0,6,0,16,0,59,0,14,0,96,0,45,0,45,0,45,0,6,0,98,0,87,0,43,0,98,0,22,0,45,0,45,0,45,0,Long Stride Loose,0,24,0,57,0,83,0,37,0,54,0,96,0,6,0,6,0,6,0,6,0,25,0,16,0,95,0,52,0,65,0,,rosters.csv
Tristan Wirfs,TB,OL,96,77,94,65,58,95,97,20971,Tristan,Wirfs,1999-01-24,77,320,96,Iowa,1,26,78,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/681.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,78,0,65,0,87,0,93,0,94,0,97,0,22,0,25,0,12,0,20,0,37,0,15,0,37,0,58,0,5,0,10,0,38,0,95,0,95,0,16,0,12,0,15,0,10,0,92,0,12,0,5,0,96,0,95,0,96,0,95,0,6,0,17,0,10,0,10,0,30,0,15,0,89,0,91,0,87,0,Long Stride Loose,0,15,0,15,0,77,0,13,0,34,0,38,0,6,0,6,0,6,0,6,0,11,0,10,0,93,0,36,0,13,0,,rosters.csv
Cameron Heyward,PIT,DL,95,75,94,67,59,92,96,10698,Cameron,Heyward,1989-05-06,77,295,95,Ohio State,1,36,97,14,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/4384.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,73,0,67,0,74,0,87,0,94,0,96,0,29,0,96,0,12,0,11,0,39,0,10,0,48,0,59,0,2,0,73,0,92,0,94,0,92,0,10,0,11,0,12,0,10,0,17,0,22,0,3,0,95,0,45,0,45,0,45,0,6,0,97,0,87,0,10,0,89,0,12,0,45,0,45,0,45,0,Long Stride Loose,0,10,0,22,0,75,0,10,0,46,0,94,0,6,0,6,0,6,0,6,0,21,0,18,0,95,0,36,0,32,0,,rosters.csv
CeeDee Lamb,DAL,WR,95,90,70,94,93,93,95,20932,CeeDee,Lamb,1999-04-08,74,200,95,Oklahoma,1,26,88,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/418.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,91,0,94,0,96,0,93,0,70,0,95,0,97,0,30,0,35,0,86,0,76,0,93,0,93,0,93,0,95,0,10,0,29,0,46,0,93,0,93,0,33,0,48,0,80,0,33,0,18,0,95,0,95,0,39,0,25,0,27,0,21,0,16,0,10,0,17,0,31,0,98,0,54,0,22,0,27,0,Short Stride High and Tight,0,95,0,98,0,90,0,86,0,80,0,38,0,21,0,26,0,31,0,32,0,37,0,25,0,91,0,71,0,25,0,,rosters.csv
Creed Humphrey,KC,OL,95,74,90,67,58,93,95,21551,Creed,Humphrey,1998-06-28,76,302,95,Oklahoma,0,27,52,4,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/729.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,79,0,67,0,80,0,94,0,90,0,95,-2,10,0,26,0,12,0,8,0,34,0,15,0,25,0,58,0,6,0,10,0,25,0,93,0,93,0,10,0,11,0,14,0,10,0,93,0,7,0,8,0,95,1,93,2,90,2,96,2,6,0,25,0,10,0,10,0,30,0,21,0,94,0,96,0,91,0,Default Stride Awkward,0,15,0,21,0,74,0,10,0,10,0,39,0,6,0,6,0,6,0,6,0,24,0,14,0,98,0,18,0,11,0,,rosters.csv
Jonathan Taylor,IND,RB,95,94,82,86,86,90,97,20928,Jonathan,Taylor,1999-01-19,70,226,95,Wisconsin,1,26,28,5,"https://ratings-images-prod.pulse.ea.com/madden-nfl-26/portraits/604.png?im=FaceCrop,padding=0.7",,9-week-8,Week 8 Ratings,94,2,86,0,84,0,96,0,82,0,97,1,96,0,25,0,28,0,95,0,95,2,55,1,71,0,86,0,49,1,10,0,25,0,37,0,90,0,92,0,15,0,17,0,45,0,32,0,12,0,56,1,95,1,58,0,24,0,29,0,14,0,13,0,10,0,14,0,33,0,51,0,34,0,24,0,27,0,Default,0,64,2,59,3,94,0,81,0,93,1,27,0,15,0,20,0,25,0,17,0,29,0,15,0,92,0,88,0,19,0,,rosters.csv
